LastUpdated: 31/12/2025,,"Names of forest reserves in gazettes and maps (""0"" if not found)",,,,,Notes on changes made to reserve names in maps of Dept Forestry 2022 and Dept Env 2012,
no,state,reserves_master,reserves_gaz,reserves_jpsm,reserves_doe,reserves_others,notes_deptfor,notes_deptenv
83,Pahang,Bukit Gebok Tambahan,Bukit Gebok Tambahan,0,0,0,,
84,Pulau Pinang,Bukit Gemuroh,0,Bukit Gemuroh,Bukit Gemuroh,0,,Reserve name changed from Bukit Gemuruh to Bukit Gemuroh to match DeptForestry map
85,Pulau Pinang,Bukit Genting,0,Bukit Genting,Bukit Genting,0,,
86,Kedah,Bukit Genting Iboi,Bukit Genting Iboi,Bukit Genting Iboi,0,0,,
87,Terengganu,Bukit Gong,0,Bukit Gong,Bukit Gong,0,,
88,Perlis,Bukit Guar Sami,Bukit Guar Sami,0,0,Bukit Guar Sami,,
89,Johor,Bukit Hantu (Johor),0,Bukit Hantu (Johor),Bukit Hantu (Johor),0,"Reserve named added ""Johor"" to differentiate from the ones in Kelantan",
90,Kelantan,Bukit Hantu (Kelantan),0,Bukit Hantu (Kelantan),Bukit Hantu (Kelantan),0,"Reserve named added ""Kelantan"" to differentiate from the ones in Johor",Reserve name changed from Bukit Hantu to Bukit Hantu (Kelantan) to differentiate from the Johor reserve
91,Pahang,Bukit Ibam,Bukit Ibam,Bukit Ibam,Bukit Ibam,0,Merged Bukit Ibam (Kuantan) & Bukit Ibam (Rompin) into Bukit Ibam. Reserve name changed from Bukit Ibam (Kuantan) to Bukit Ibam to match gazette.,"Merged Bukit Ibam Rompin, Ibam (Kuantan) into Bukit Ibam to match DeptForestry map after checking locations"
92,Pahang,Bukit Ibam Tambahan,Bukit Ibam Tambahan,0,0,0,,
93,Johor,Bukit Inas,0,Bukit Inas,Bukit Inas,0,,
94,Terengganu,Bukit Jemalang,0,Bukit Jemalang,Bukit Jemalang,0,,
95,Perlis,Bukit Jernih ,Bukit Jernih ,0,0,Bukit Jernih ,,
96,Pahang,Bukit Jerut,0,Bukit Jerut,Bukit Jerut,0,,
97,Pahang,Bukit Jerut Tambahan,0,Bukit Jerut Tambahan,0,0,,
98,Selangor,Bukit Jugra,0,Bukit Jugra,Bukit Jugra,0,,
99,Selangor,Bukit Jugra Tambahan,0,Bukit Jugra Tambahan,Bukit Jugra Tambahan,0,,
100,Pulau Pinang,Bukit Juru,0,Bukit Juru,Bukit Juru,0,,
101,Pahang,Bukit Kajang,Bukit Kajang,Bukit Kajang,Bukit Kajang,0,,
102,Pahang,Bukit Kajang Tambahan,0,Bukit Kajang Tambahan,0,0,,
103,Terengganu,Bukit Kambing,0,Bukit Kambing,Bukit Kambing,0,,
104,Kedah,Bukit Kemunting,Bukit Kemunting,Bukit Kemunting,0,0,,
105,Pulau Pinang,Bukit Kerajaan,0,Bukit Kerajaan,Bukit Kerajaan,0,,
106,Kedah,Bukit Keramat,Bukit Keramat,Bukit Keramat,0,0,,
107,Pahang,Bukit Kerisek,0,Bukit Kerisek,Bukit Kerisek,0,,
108,Kedah,Bukit Kerong,Bukit Kerong,Bukit Kerong,0,0,,
109,Terengganu,Bukit Kesing,0,Bukit Kesing,Bukit Kesing,0,,
110,Perak,Bukit Kinta,Bukit Kinta,Bukit Kinta,Bukit Kinta,0,,
111,Pahang,Bukit Kuantan,Bukit Kuantan,Bukit Kuantan,Bukit Kuantan,0,,
112,Pahang,Bukit Kuantan Tambahan,0,Bukit Kuantan Tambahan,0,0,Reserve name changed from Bukit Kuantan(Tambahan) to Bukit Kuantan Tambahan to match gazette,
113,Selangor,Bukit Kutu,0,Bukit Kutu,Bukit Kutu,0,,
114,Terengganu,Bukit Labohan,0,Bukit Labohan,Bukit Labohan,0,,
115,Selangor,Bukit Lagong,Bukit Lagong,Bukit Lagong,Bukit Lagong,0,,
116,Selangor,Bukit Lagong Plot A,Bukit Lagong Plot A,Bukit Lagong Plot A,0,0,,
117,Selangor,Bukit Lagong Tambahan,0,0,Bukit Lagong Tambahan,0,,"DOE's Bukit Lagong Tambahan in Selangor includes Bukit Lagong Tambahan A, Bukit Lagong Tambahan B in Kuala Lumpur in DeptForestry map"
118,Kuala Lumpur,Bukit Lagong Tambahan A,0,Bukit Lagong Tambahan A,0,0,,
119,Kuala Lumpur,Bukit Lagong Tambahan B,0,Bukit Lagong Tambahan B,0,0,,
120,Perak,Bukit Larut,Bukit Larut,Bukit Larut,Bukit Larut,0,"Merged Bukit Larut (Kuala Kangsar), Bukit Larut (Larut Matang) into Bukit Larut. Reserve name changed from Bukit Larut (Kuala Kangsar) to Bukit Larut to match gazette","Merged Bukit Larut (Kuala Kangsar), Bukit Larut (Larut Matang) into Bukit Larut to match DeptForestry map after checking locations"
121,Kedah,Bukit Malut,0,Bukit Malut,Bukit Malut,0,,
122,Perlis,Bukit Manek,Bukit Manek,0,0,Bukit Manek,,
123,Pulau Pinang,Bukit Mertajam,0,Bukit Mertajam,Bukit Mertajam,0,,
124,Terengganu,Bukit Mual,Bukit Mual,Bukit Mual,0,0,,
125,Perak,Bukit Naga,0,Bukit Naga,Bukit Naga,0,,
126,Perlis,Bukit Namera,Bukit Namera,Bukit Namera,Bukit Namera,0,,
127,Kuala Lumpur,Bukit Nenas,0,Bukit Nenas,Bukit Nenas,0,,
128,Terengganu,Bukit Palus,Bukit Palus,Bukit Palus,Bukit Palus,0,,
129,Pulau Pinang,Bukit Panchur,0,Bukit Panchur,Bukit Panchur,0,,
130,Terengganu,Bukit Panjang,0,Bukit Panjang,Bukit Panjang,0,,
131,Perlis,Bukit Papan,Bukit Papan,0,0,Bukit Papan,,
132,Johor,Bukit Payong (Johor),0,Bukit Payong (Johor),Bukit Payong (Johor),0,"Reserve named added ""Johor"" to differentiate from the ones in Kedah and Perak",Reserve name changed from Bukit Payung to Bukit Payong to match DeptForestry map
133,Kedah,Bukit Payong (Kedah),Bukit Payong (Kedah),Bukit Payong (Kedah),0,0,,
