LastUpdated: 31/12/2025,,"Names of forest reserves in gazettes and maps (""0"" if not found)",,,,,Notes on changes made to reserve names in maps of Dept Forestry 2022 and Dept Env 2012,
no,state,reserves_master,reserves_gaz,reserves_jpsm,reserves_doe,reserves_others,notes_deptfor,notes_deptenv
496,Pahang,Som,Som,Som,Som,0,,
497,Pahang,Som Tambahan,Som Tambahan,0,0,0,,
498,Kelantan,Sultan Ismail Petra Ecosystem Protection Park,Sultan Ismail Petra Ecosystem Protection Park,0,0,0,,
499,Kedah,Sungai Badak,Sungai Badak,Sungai Badak,Sungai Badak,0,,
500,Johor,Sungai Bahan,0,0,Sungai Bahan,0,,
501,Perak,Sungai Baharu,0,Sungai Baharu,Sungai Baharu,0,,Reserve name changed from Sungai Bahru to Sungai Baharu to match DeptForestry map
502,Melaka,Sungai Baru Hilir,0,Sungai Baru Hilir,0,0,,
503,Perak,Sungai Batu,Sungai Batu,0,0,0,,
504,Pahang,Sungai Benchah,0,Sungai Benchah,Sungai Benchah,0,,Reserve name changed from Bencah to Sungai Benchah to match DeptForestry map after checking location
505,Kelantan,Sungai Berok,Sungai Berok,Sungai Berok,Sungai Berok,0,Reserve name changed from Sungai Brok to Sungai Berok to match gazette,Reserve name changed from Sungai Brok to Sungai Berok to match DeptForestry map
506,Pahang,Sungai Bertam,Sungai Bertam,0,0,0,,
507,Kuala Lumpur,Sungai Besi,Sungai Besi,Sungai Besi,Sungai Besi,0,Reserve name changed from Sg. Besi to Sungai Besi to match gazette,Reserve name changed from Sg Besi to Sungai Besi to match DeptForestry map
508,Kuala Lumpur,Sungai Besi Tambahan,0,Sungai Besi Tambahan,0,0,Reserve name changed from Sungai Besi (Tambahan) to Sungai Besi Tambahan to match gazette,
509,Kelantan,Sungai Betis,Sungai Betis,Sungai Betis,Sungai Betis,0,,
510,Kelantan,Sungai Betis Ganti,Sungai Betis Ganti,Sungai Betis Ganti,0,0,Reserve name changed from Sg. Betis Gantian to Sungai Betis Ganti to match gazette,Reserve name changed from Sg. Betis (Gantian) to Sungai Betis Ganti to match DeptForestry map
511,Selangor,Sungai Buloh,Sungai Buloh,Sungai Buloh,Sungai Buloh,0,,
512,Pulau Pinang,Sungai Chenaam,Sungai Chenaam,0,0,0,,
513,Perak,Sungai Chikus,Sungai Chikus,Sungai Chikus,Sungai Chikus,0,Reserve renamed from Chikus to Sungai Chikus to match gazette,Reserve renamed from Chikus to Sungai Chiku to match gazette
514,Kelantan,Sungai Durian,Sungai Durian,Sungai Durian,Sungai Durian,0,,
515,Selangor,Sungai Dusun,Sungai Dusun,Sungai Dusun,Sungai Dusun,0,,
516,Pahang,Sungai Ichat,Sungai Ichat,0,0,0,,
517,Pahang,Sungai Ikan,Sungai Ikan,0,0,0,,
518,Selangor,Sungai Jeloh,0,Sungai Jeloh,Sungai Jeloh,0,,Reserve name changed from Sungai Jelok to Sungai Jeloh to match DeptForestry map
519,Selangor,Sungai Karang,Sungai Karang,Sungai Karang,Sungai Karang,0,,
520,Johor,Sungai Kemudi,0,0,Sungai Kemudi,0,,
521,Pahang,Sungai Ketir,Sungai Ketir,0,0,0,,
522,Pahang,Sungai Kial,0,Sungai Kial,Sungai Kial,0,,
523,Pahang,Sungai Kial Tambahan,0,Sungai Kial Tambahan,Sungai Kial Tambahan,0,,Reserve name changed from Sungai Kial (Tambahan) to Sungai Kial Tambahan to match DeptForestry map after checking location
524,Perak,Sungai Kuak,Sungai Kuak,Sungai Kuak,Sungai Kuak,0,,
525,Selangor,Sungai Lalang,0,Sungai Lalang,Sungai Lalang,0,,
526,Selangor,Sungai Lalang Tambahan,Sungai Lalang Tambahan,Sungai Lalang Tambahan,Sungai Lalang Tambahan,0,,
527,Johor,Sungai Lebam,0,Sungai Lebam,Sungai Lebam,0,,
528,Pahang,Sungai Lembing,Sungai Lembing,0,0,0,,
529,Pahang,Sungai Lemoi,Sungai Lemoi,0,0,0,,
530,Pahang,Sungai Lesong,Sungai Lesong,0,0,0,,
531,Perak,Sungai Limau,0,Sungai Limau,Sungai Limau,0,,
532,Pahang,Sungai Marong,0,Sungai Marong,Sungai Marong,0,,
533,Pahang,Sungai Marong Tambahan,Sungai Marong Tambahan,0,0,0,,
534,Terengganu,Sungai Mekeluk,0,Sungai Mekeluk,Sungai Mekeluk,0,,
535,Pahang,Sungai Miang,Sungai Miang,0,Sungai Miang,0,,
536,Perak,Sungai Nibong,0,Sungai Nibong,Sungai Nibong,0,,
537,Terengganu,Sungai Nipah,Sungai Nipah,Sungai Nipah,Sungai Nipah,0,,
538,Terengganu,Sungai Paka,Sungai Paka,0,0,0,,
539,Selangor,Sungai Panjang,Sungai Panjang,0,0,Sungai Panjang,,
540,Johor,Sungai Pendas,Sungai Pendas,0,0,0,,
541,Terengganu,Sungai Pimpin,0,Sungai Pimpin,Sungai Pimpin,0,,
542,Perak,Sungai Pinang,Sungai Pinang,Sungai Pinang,Sungai Pinang,0,,
543,Pulau Pinang,Sungai Pinang Plot 1,Sungai Pinang Plot 1,0,0,0,,
544,Pulau Pinang,Sungai Pinang Plot 2,Sungai Pinang Plot 2,0,0,0,,
545,Perak,Sungai Plus,Sungai Plus,0,0,0,,
546,Pahang,Sungai Pukin,0,Sungai Pukin,Sungai Pukin,0,,Reserve name changed from Pukin to Sungai Pukin to match DeptForestry map after checking location
547,Pahang,Sungai Pukin Tambahan,Sungai Pukin Tambahan,Sungai Pukin Tambahan,0,0,Reserve name changed from Sg. Pukin Tambahan to Sungai Pukin Tambahan to match gazette,
548,Pulau Pinang,Sungai Rusa Plot 2,Sungai Rusa Plot 2,0,0,0,,
549,Pulau Pinang,Sungai Rusa Plot 3,Sungai Rusa Plot 3,0,0,0,,
550,Kelantan,Sungai Sam,Sungai Sam,Sungai Sam,Sungai Sam,0,,
551,Johor,Sungai Santi,0,Sungai Santi,Sungai Santi,0,,
552,Kelantan,Sungai Sator,0,Sungai Sator,Sungai Sator,0,,
553,Johor,Sungai Segamat,Sungai Segamat,Sungai Segamat,Sungai Segamat,0,,
554,Perak,Sungai Sepetang,0,Sungai Sepetang,Sungai Sepetang,0,,
555,Pahang,Sungai Sia,0,Sungai Sia,Sungai Sia,0,,
556,Pahang,Sungai Telom,Sungai Telom,0,0,0,,
557,Perak,Sungai Temerlok,0,Sungai Temerlok,Sungai Temerlok,0,,Reserve name changed from Temerlok to Sungai Temerlok to match DeptForestry map after checking location
558,Kelantan,Sungai Terah,0,Sungai Terah,Sungai Terah,0,,
559,Pahang,Sungai Terla,Sungai Terla,Sungai Terla,Sungai Terla,0,"Merged Sungai Terla A, Sungai Terla B into Sungai Terla. Reserve name changed from Sungai Terla A to Sungai Terla to match gazette",
560,Perak,Sungai Tinggi,Sungai Tinggi,Sungai Tinggi,Sungai Tinggi,0,,
561,Pulau Pinang,Sungai Udang,Sungai Udang,0,0,0,,
562,Pahang,Sungai Wi,0,Sungai Wi,Sungai Wi,0,,
563,Melaka,Sungei Baru Ulu,0,Sungei Baru Ulu,0,0,,
564,Johor,Sungei Johor,Sungei Johor,Sungei Johor,Sungei Johor,0,Reserve name changed from Sungai Johor to Sungei Johor to match gazette,Reserve name changed from Sungai Johor to Sungei Johor to match DeptForestry map
565,Negeri Sembilan,Sungei Menyala,Sungei Menyala,Sungei Menyala,Sungei Menyala,0,Reserve name changed from Sungai Menyala to Sungei Menyala to match gazette,Reserve name changed from Gunung Tampin to Gunong Tampin to match DeptForestry map
566,Johor,Sungei Pulai,Sungei Pulai,Sungei Pulai,Sungei Pulai,0,Reserve name changed from Sungai Pulai to Sungei Pulai to match gazette,Reserve name changed from Sungai Pulai to Sungei Pulai to match DeptForestry map
567,Kelantan,Sungei Rek,0,Sungei Rek,Sungei Rek,0,,Reserve name changed from Sungai Rek to Sungei Rek to match DeptForestry map
568,Melaka,Sungei Udang,Sungei Udang,Sungei Udang,Sungei Udang,0,Reserve name changed from Sungai Udang to Sungei Udang to match gazette,Reserve name changed from Sungai Udang to Sungei Udang to match DeptForestry map
569,Kedah,Sungkop,0,Sungkop,Sungkop,0,,
570,Melaka,Taboh Naning,0,Taboh Naning,0,0,,
571,Selangor,Tadahan Air Ampang,Tadahan Air Ampang,0,0,0,,
572,Kedah,Tadahan Air Kulim,0,Tadahan Air Kulim,Tadahan Air Kulim,0,,
573,Kedah,Tadahan Air Parit Buntar,0,Tadahan Air Parit Buntar,Tadahan Air Parit Buntar,0,,
574,Pahang,Taman Negeri Endau Rompin,0,Taman Negeri Endau Rompin,Taman Negeri Endau Rompin,0,,Reserve name changed from Taman Negeri Endau to Taman Negeri Endau Rompin to match DeptForestry map after checking location
198,Negeri Sembilan,Tampin,Tampin,Tampin,Tampin,0,Reserve name changed from Gunung Tampin to Tampin to match gazette,Reserve name changed from Gunung Tampin toTampin to match DeptForestry map
575,Perak,Tanjong Burong Tambahan,Tanjong Burong Tambahan,0,0,0,,
576,Selangor,Tanjong Duabelas,Tanjong Duabelas,0,0,Tanjong Duabelas,,
577,Perak,Tanjong Hantu,Tanjong Hantu,Tanjong Hantu,Tanjong Hantu,0,Reserve name changed from Tanjung Hantu to Tanjong Hantu to match gazette,Reserve name changed from Tanjung Hantu to Tanjong Hantu to match DeptForestry map
578,Perak,Tanjung Burung,0,Tanjung Burung,Tanjung Burung,0,,
579,Kedah,Tanjung Dagu,0,Tanjung Dagu,Tanjung Dagu,0,,
580,Pulau Pinang,Tanjung Gemuruh,Tanjung Gemuruh,0,0,0,,
581,Melaka,Tanjung Tuan,0,Tanjung Tuan,Tanjung Tuan,0,,
582,Pahang,Tanum,0,Tanum,Tanum,0,,
583,Pahang,Tanum Tambahan,Tanum Tambahan,0,0,0,,
584,Perak,Tapah Hills,Tapah Hills,0,0,0,,
585,Negeri Sembilan,Tebong,0,Tebong,Tebong,0,,
586,Pahang,Tekai,Tekai,Tekai,Tekai,0,Reserve name changed from Tekai Tembeling to Tekai to match gazette,
587,Pahang,Tekai Tembeling,Tekai Tembeling,Tekai Tembeling,Tekai Tembeling,0,Reserve name changed from Tekai Tembeling (Tambahan) to Tekai Tembeling to match gazette,Reserve name changed from Tembeling to Tekai Tembeling to match DeptForestry map after checking location
588,Pahang,Tekam,0,Tekam,Tekam,0,,DOE's Tekam includes Tekam Tambahan in DeptForestry map
589,Pahang,Tekam Tambahan,0,Tekam Tambahan,0,0,Reserve name changed from Tekam(Tambahan) to Tekam Tambahan to match gazette,
590,Pahang,Telanok,0,Telanok,0,0,,
591,Perak,Telok Batik,0,Telok Batik,Telok Batik,0,,
592,Selangor,Telok Gedong,0,Telok Gedong,Telok Gedong,0,,"Merged Telok Gedong Tambahan, Telok Gedong into Telok Gedong to match DeptForestry map after checking locations"
593,Perak,Telok Kertang,0,Telok Kertang,Telok Kertang,0,,
594,Pulau Pinang,Teluk Bahang,0,Teluk Bahang,Teluk Bahang,0,,
595,Perak,Teluk Kopiah,0,Teluk Kopiah,Teluk Kopiah,0,,Reserve name changed from Telok Kepiah to Teluk Kopiah to match DeptForestry map
596,Perak,Teluk Meroh,Teluk Meroh,Teluk Meroh,Teluk Meroh,0,Reserve name changed from Teluk Muroh to Teluk Meroh to match gazette,Reserve name changed from Telok Muroh to Teluk Meroh to match DeptForestry map
597,Perak,Teluk Nipah,Teluk Nipah,0,0,0,,
598,Perak,Teluk Tiga,Teluk Tiga,0,0,0,,
599,Kelantan,Temangan,0,Temangan,Temangan,0,,
600,Terengganu,Tembat,Tembat,Tembat,Tembat,0,,
601,Pahang,Temelong,0,Temelong,Temelong,0,,
602,Perak,Temengor,Temengor,Temengor,Temengor,0,Reserve name changed from Temenggor to Temengor to match gazette,Reserve name changed from Temenggor to Temengor to match DeptForestry map
603,Pahang,Temiang,0,Temiang,Temiang,0,,
604,Selangor,Templer,0,Templer,Templer,0,,
605,Pahang,Tenggalan,Tenggalan,Tenggalan,Tenggalan,0,,Reserve name changed from Tenggelan to Tenggalan to match DeptForestry map
606,Johor,Tenggaroh,Tenggaroh,0,Tenggaroh,0,,
607,Johor,Tenggaroh Tambahan A,Tenggaroh Tambahan A,0,0,0,,
608,Johor,Tenggaroh Tambahan B,Tenggaroh Tambahan B,0,0,0,,
609,Johor,Tenggaroh Tambahan C,Tenggaroh Tambahan C,0,0,0,,
610,Kelantan,Terah,Terah,0,0,0,,
611,Pahang,Teras,0,Teras,Teras,0,,
612,Kedah,Terenas,0,Terenas,Terenas,0,"Terenas includes ""Terenas Tambahan"" in Others maps",
613,Kedah,Terenas Tambahan,Terenas Tambahan,0,0,Terenas Tambahan,,
614,Pahang,Terengun,Terengun,Terengun,Terengun,0,Reserve name changed from Terenggun to Terengun to match gazette,Reserve name changed from Terenggun to Terengun to match DeptForestry map
615,Pahang,Terisu,0,Terisu,0,0,"Merged Terisu A, Terisu B into Terisu. Reserve name changed from Terisu A to Terisu to match gazette",
616,Pahang,Tersang,Tersang,Tersang,Tersang,0,,DOE's Tersang includes Tersang Tambahan in DeptForestry map
617,Pahang,Tersang Tambahan,0,Tersang Tambahan,0,0,,
618,Pahang,Tranum,0,Tranum,Tranum,0,,
619,Negeri Sembilan,Triang,Triang,Triang,Triang,0,,"Merged Triang Barat, Triang Timur into Triang to match DeptForestry map after checking locations"
620,Perak,Trong,0,Trong,Trong,0,,
621,Pahang,Ulu Bertam,Ulu Bertam,Ulu Bertam,Ulu Bertam,0,,
622,Pahang,Ulu Beruit,0,Ulu Beruit,Ulu Beruit,0,,
623,Kelantan,Ulu Galas,Ulu Galas,Ulu Galas,Ulu Galas,0,,
624,Selangor,Ulu Gombak,Ulu Gombak,Ulu Gombak,Ulu Gombak,0,Reserve name changed from Hulu Gombak  to Ulu Gombak to match gazette,Reserve name changed from Hulu Gombak  to Ulu Gombak to match gazette
625,Selangor,Ulu Gombak Tambahan,Ulu Gombak Tambahan,Ulu Gombak Tambahan,Ulu Gombak Tambahan,0,,
626,Selangor,Ulu Gombak Tambahan 1,Ulu Gombak Tambahan 1,Ulu Gombak Tambahan 1,Ulu Gombak Tambahan 1,0,,
627,Selangor,Ulu Gombak Tambahan 3,Ulu Gombak Tambahan 3,Ulu Gombak Tambahan 3,0,0,Reserve name changed from Ulu Gombak Tambahan III to Ulu Gombak Tambahan 3 to match gazette,
628,Pahang,Ulu Ichat,0,Ulu Ichat,Ulu Ichat,0,,
629,Pahang,Ulu Jelai,Ulu Jelai,Ulu Jelai,Ulu Jelai,0,,
630,Pahang,Ulu Jelai Tambahan,Ulu Jelai Tambahan,Ulu Jelai Tambahan,Ulu Jelai Tambahan,0,Reserve name changed from Hulu Jelai Tambahan to Ulu Jelai Tambahan to match gazette,
631,Pahang,Ulu Luit,Ulu Luit,Ulu Luit,Ulu Luit,0,,
632,Pahang,Ulu Mas,0,Ulu Mas,Ulu Mas,0,,
633,Kedah,Ulu Muda Selatan,0,Ulu Muda Selatan,Ulu Muda Selatan,0,,
634,Kedah,Ulu Muda Tambahan,Ulu Muda Tambahan,0,0,Ulu Muda Tambahan,,
635,Kedah,Ulu Muda Tengah,0,0,Ulu Muda Tengah,0,,
636,Kelantan,Ulu Nenggiri,Ulu Nenggiri,0,0,0,,
637,Kelantan,Ulu Sat,Ulu Sat,Ulu Sat,Ulu Sat,0,,
638,Johor,Ulu Sedili,0,Ulu Sedili,Ulu Sedili,0,,"Merged Ulu Sedili Selatan, Ulu Sedili Tengah, Ulu Sedili Timur into Ulu Sedili to match DeptForestry map after checking locations"
639,Johor,Ulu Sedili Tambahan,Ulu Sedili Tambahan,Ulu Sedili Tambahan,Ulu Sedili Tambahan,Ulu Sedili Tambahan,,"Merged Ulu Sedili Selatan Tamb (Ldg), Ulu Sedili Timur Tambh (Ldg) into Ulu Sedili Tambahan to match DeptForestry map after checking locations"
640,Perak,Ulu Slim,Ulu Slim,0,0,0,,
641,Kelantan,Ulu Temiang,Ulu Temiang,Ulu Temiang,Ulu Temiang,0,,
642,Perlis,Wang Mu,Wang Mu,Wang Mu,Wang Mu,0,,
643,Melaka,X - NOT STATED,X - NOT STATED,0,0,0,,
644,Pahang,X - NOT STATED,X - NOT STATED,0,0,0,,
645,Negeri Sembilan,X - NOT STATED,X - NOT STATED,0,0,0,,
646,Pahang,Yong,Yong,Yong,Yong,0,,DOE's Yong includes Yong Lipis in DeptForestry map
647,Pahang,Yong Lipis,0,Yong Lipis,0,0,Reserve name changed from Yong (Lipis) to Yong Lipis,
648,Pahang,Yong Tambahan,Yong Tambahan,Yong Tambahan,0,0,,
649,Pahang,Yong Tambahan B,0,Yong Tambahan B,Yong Tambahan B,0,Reserve name changed from Yong (Tambahan B) to Yong Tambahan B to match gazette,Reserve name changed from Yong (Tambahan B) to Yong Tambahan B to match DeptForestry map
650,Pahang,Yong Tambahan Lipis,0,Yong Tambahan Lipis,Yong Tambahan Lipis,0,Reserve name changed from Yong Tambahan ( Lipis) to Yong Tambahan Lipis to match gazette,Reserve name changed from Yong (Tambahan A) to Yong Tambahan Lipis to match DeptForestry map after checking location
651,Pahang,Yu,Yu,Yu,Yu,0,Reserve name changed from Sungai Yu to Yu to match gazette,Reserve name changed from Sungai Yu to Yu to match DeptForestry map
652,Perak,Z - NOT NAMED,0,Z - NOT NAMED,0,0,,
ADDED AFTER 31/12/2025,,,,,,,,
653,Pahang,Galing,Galing,0,0,0,,
654,Melaka,Paya Laut Merlimau Pantai,Paya Laut Merlimau Pantai,0,0,0,,
655,Pahang,Ulu Teranum Tambahan,Ulu Teranum Tambahan,0,0,0,,
